Paper ID,Authors,Year,Title,MWP Technique,Traditional tests,AU raw,TC MWP Relevance,App Score,App Evidence,Meth Score,Meth Evidence,SigProc Score,SigProc Types,PropC Score,Property Types,Raw Property,IdM Score,Id Methods,Raw IdM,DA Score,Rheo Score,Rheo Models,Rheo Purpose,Reviewer Support,ABK,ABL,Primary,Secondary,Tie-break Used?,Tie-break Reason,Confidence,Rationale,Materials,Geometries
P101,"Carret, JC and Di Benedetto, H and Sauzeat, C",2018,Multi Modal Dynamic Linear Viscoelastic Back Analysis for Asphalt Mixes,Other / not explicitly UT or IR,Complex modulus (E*),Complex modulus (E*),High,1,conventional-test comparison (Complex modulus (E*)),0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,2,2S2P1D,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",2,"This study proposed a simplified back analysis method that gives good results, both for the norm of the complex modulus and for the phase angle at low and intermediate temperatures.",It is an important study that is highly relevant to the MWP scope.,Application Focus,None,No,Single highest technical score,High,"App=1, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Other / special / unspecified asphalt material,Cylinder
P47,"Kim, D. and Kim, Y.R.",2017,Determination of dynamic modulus values of asphalt mixtures using impact resonance testing of thin disk specimens,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); multiple material types (3),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); temperature (IR); methodological comment (IR),1,FFT,3,"|E*| / dynamic modulus, phase angle, Poisson’s ratio","Norm of the complex modulus, Phase angle of the complex modulus, Poisson’s ratio",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,"Sigmoidal, The |E*| value at the low reduced frequency was estimated using the predictive equation, that utilizes the dynamic shear modulus (|G*|) value","Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"- Proposal of a support system for IR testing using manual impact with a steel ball, providing a simpler and lower cost solution for laboratories and industry. The proposed setup reduces operator induced variability and minimizes interference between flexural vibration modes in disc specimens.
- Recommendations for specimen geometry and test configuration (thickness, mass, and drop height).
- Validation of |E*| and phase angle via master curves and agreement with conventional dynamic modulus tests at the reduced frequencies between them.
- Main limitations include: determination of a single frequency (and thus a single |E*| value) per temperature; requirement of two vibration modes (anti-flexural and axisymmetric flexural) to estimate Poisson’s ratio; assumption of Poisson’s ratio from literature for cylindrical geometry; Use of equations that require asphalt binder properties to determine the shift factors of asphalt mixtures.",Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=1, PropC=3, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Disc
P137,"Boz, I. and Solaimanian, M.",2016,The effect of aspect ratio on the frequency response of asphalt concrete in impact resonance testing,IR,None reported,Impact resonance test (IRT),High,0,No application evidence identified in the form,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR),1,FFT,0,Not reported,Not reported,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,"It is only stated that wave velocity it is related to densities which are indicatie of material properties, i.e. Young's modulus",2,In deep analysis of geometry of the specimens in IRT results,Compare with papers that deal with IRT and geometry of specimens,Testing Methodology Focus,None,No,Single highest technical score,High,"App=0, Meth=3, DA=1 (SigProc=1, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P85,"Ucak, Kaan and Fromme, Paul and Duffour, Philippe and Chen, Lou and Bai, Yun",2024,"Influence of replacing Portland cement with anionic asphalt emulsion on vibration damping, mechanical and microstructural properties of concrete",IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); temperature effects (multiple temperatures),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR),1,FFT,2,|E*| / dynamic modulus,"Norm of the complex modulus, Loss factor",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,1,They used IRT for cement asphalt emulsion composite.,This study did not investigate traditional asphalt materials.,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=1, PropC=2, IdM=1). Single highest technical score.",Cement-treated or hybrid material,Cylinder; Prism / beam
P69,"Khazanovich, L. and Velasquez, R. and Nesvijski, E.G.",2005,Evaluation of top-down cracks in asphalt pavements by using a self-calibrating ultrasonic technique,UT,None reported,Ultrasonic testing (UT),High,1,cracking/damage,2,central frequency (UT); configuration (UT); transducer type (UT); methodological comment (UT),0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,2,The authors used a portable ultrasonic device to evaluate the extent (depth) of cracking by conducting tests on notched beam samples and on MnROAD test sections.,This study mainly investigated the use of UT in pavement surface cracking evaluation.,Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=2, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Prism / beam
P53,"Apaza Apaza, F.R. and Vázquez, V.F. and Paje, S.E. and Gulisano, F. and Rodríguez, L.S. and Gallego, J.",2025,Dynamic stiffness assessment: a non-destructive testing approach for estimating density and air void content in asphalt mixtures,Other / not explicitly UT or IR,Dynamic stiffness test via non-resonance method,Dynamic stiffness test via non-resonance method,Medium,3,conventional-test comparison (Dynamic stiffness test via non-resonance method); multiple material types (5); additives/modifiers; density/air-void evaluation; mixture comparison,0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,1,"They conducted the Dynamic Stiffness test via non-resonant method. Basically, they used a vibration exciter to perform wave propagation and measured the force and displacement, which they used to calculate the dynamic stiffness. But the stiffness here is not the material property, instead, it is force/displacement. They did some statistical analysis to investigate the relationships between this dynamic stiffness and bulk density/apparent density/air voids.",Not reported,Application Focus,None,No,Single highest technical score,High,"App=3, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P09,"Mallick, Rajib B. and Nivedya, M.K. and Veeraragavan, Ramkumar and Nazarian, Soheil and Tirado, Cesar",2019,An alternative approach to testing of moisture susceptibility of recycled pavement materials,UT,None reported,Ultrasonic testing (UT),Medium,2,multiple material types (3); RAP/RAS or recycled materials; moisture/conditioning,2,configuration (UT); repetitions (UT); standard/reference (UT); temperature (UT); wave type (UT); methodological comment (UT),0,Not described,1,"seismic modulus, wave velocity","P-waves/S-waves velocities, Seismic modulus derived from wave velocity",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,Not reported,2,Ultrasonic wave velocity is sensitive to moisture-induced damage in composite asphalt systems,"Composite (multi-layers) cylindrical specimens, effect of moisture damage with UT",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=0, PropC=1, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P41,"Wu, Jinrong and Hu, Yanyan and Jin, Qingfen and Zhao, Wenzhu",2024,Degradation of SMA-13 low-temperature performance under coupled dry and wet-salt corrosion,UT,Semi-circular bending test (SCB) & Scanning Electron Microscopy (SEM),"Ultrasonic testing (UT), Semi-circular bending test (SCB) & Scanning Electron Microscopy (SEM)",Low,2,conventional-test comparison (Semi-circular bending test (SCB) & Scanning Electron Microscopy (SEM)); additives/modifiers; field/pavement assessment,0,methodological comment (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,0,Not described,Not reported,1,0,None,Not reported,1,"Only wave velocity vs fiber concentration in SCB specimens are reported, no detail about UT procedure is given",Not reported,Application Focus,None,No,Single highest technical score,High,"App=2, Meth=0, DA=1 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Half-moon / SCB
P73,"Arnaud, L. and Houel, A.",2007,Fatigue Damage of Asphalt Pavement on an Orthotropic Bridge Deck: Mechanical Monitoring with Ultrasonic Wave Propagation,UT,Fatigue test,"Ultrasonic testing (UT), Fatigue test",High,2,conventional-test comparison (Fatigue test); cracking/damage; fatigue,0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,2,Linear viscoelastic,Comparison of results from different tests (e.g. between MWP tests and complex modulus tests),1,Real-time monitoring of fatigue damage using UT,"Fatigue, damage evolution on cylindrical and prismatic specimens",Application Focus,None,No,Single highest technical score,High,"App=2, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Other / special / unspecified asphalt material,Cylinder; Prism / beam
P25,"McGovern, M.E. and Behnia, B. and Buttlar, W.G. and Reis, H.",2013,Characterisation of oxidative ageing in asphalt concrete - Part 1: Ultrasonic velocity and attenuation measurements and acoustic emission response under thermal cooling,UT,Thermal cracking test,"Ultrasonic testing (UT), Thermal cracking test",High,2,conventional-test comparison (Thermal cracking test); aging,2,central frequency (UT); configuration (UT); repetitions (UT); transducer type (UT); wave type (UT); methodological comment (UT),1,"FFT, windowing",0,wave velocity,P-waves/S-waves velocities,1,Domain reported only,Not reported,1,0,None,Not reported,1,Effect of ageing on MWP methods,compare to other studies involving ageing,Testing Methodology Focus,Application Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=2, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Half-moon / SCB; Prism / beam
P21,"Bekele, A. and Ryden, N. and Gudmarsson, A. and Birgisson, B.",2019,Automated Non-contact Resonance Excitation Method to Assess Low Temperature Dynamic Modulus of Asphalt Concrete,Other / not explicitly UT or IR,non-contact resonance excitation,non-contact resonance excitation,Low,1,conventional-test comparison (non-contact resonance excitation),0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,2,"This paper studies the applicability of an automated non-destructive testing method to monitor the stiffness of asphalt concrete at low temperatures. The authors stated that it is a better testing set-up than the impact resonance test, as it can be performed in an environmental chamber with remote control.",It is a relevant MWP test methods but not IRT or UT.,Application Focus,None,No,Single highest technical score,High,"App=1, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P108,"Tavassoti, Pejoohan and Ameen, Taher H and Baaj, Hassan and Cascante, Giovanni",2022,Novel analysis of ultrasonic pulse propagation tests for characterization of asphalt concrete,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); temperature effects (multiple temperatures),2,central frequency (UT); configuration (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,2,Sigmoidal,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",2,"The study demonstrates the integration of ultrasonic pulse propagation testing (UPPT) with conventional dynamic modulus (E*) testing. This also provides an approach to extend master curves to high-frequency domains, which are difficult to capture experimentally.
This study introduces a hybrid rheological modeling framework (sigmoidal + UT data) to improve viscoelastic characterization.","The study shows better capability in capturing low-temperature/high-frequency behavior, where traditional tests are limited.",Testing Methodology Focus,Application Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Cylinder
P124,"Pratama, A.P. and Caronge, M.A. and Tjaronge, M.W.",2025,Reliability laboratory investigation of hot asphalt mixtures containing stone dust and cement as fillers: combined compressive strength and ultrasonic pulse velocity,UT,Compressive strength test (UTM),"Ultrasonic testing (UT), Compressive strength test (UTM)",Low,2,conventional-test comparison (Compressive strength test (UTM)); multiple material types (2),1,configuration (UT); wave type (UT),0,Not described,2,|E*| / dynamic modulus,Dynamic modulus indirectly,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,1,UPV results are qualitatively correlated with compressive strength and do not capture the viscoelastic (frequency- and temperature-dependent) behavior of asphalt mixtures.,Not reported,Application Focus,Data Analysis Type,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Application Focus,Low,"App=2, Meth=1, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P60,"Medina, J.R. and Underwood, B.S. and Mamlouk, M.",2018,Estimation of asphalt concrete modulus using the ultrasonic pulse velocity test,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",Medium,3,conventional-test comparison (Complex modulus (E*)); multiple material types (2); additives/modifiers; temperature effects (multiple temperatures),3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,Sigmoidal,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"This study demonstrates that UPV-derived modulus can predict mechanical E* at high frequencies. Also, UPV + Witczak / Hirsch models improve the prediction across frequency range.",Not reported,Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL not decisive; richer form evidence favoured Application Focus,Low,"App=3, Meth=3, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 3; ABK/ABL not decisive; richer form evidence favoured Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P14,"Tigdemir, Mesut and Kalyoncuoglu, S.Figen and Kalyoncuoglu, U.Yalcin",2004,Application of ultrasonic method in asphalt concrete testing for fatigue life estimation,UT,Fatigue test,"Ultrasonic testing (UT), Fatigue test",Medium,2,conventional-test comparison (Fatigue test); additives/modifiers; fatigue,2,configuration (UT); transducer type (UT); wave type (UT),0,Not described,2,"Poisson’s ratio, wave velocity","Poisson’s ratio, P-waves/S-waves velocities",1,Domain reported only,Not reported,2,0,None,Not reported,2,"Demonstrated that ultrasonic P- and S-wave measurements can be used to determine elastic properties (Young's modulus, shear modulus, Poisson's ratio) and successfully predict asphalt mixture fatigue life through a statistical model (R² = 0.876), providing a rapid, non-destructive alternative to conventional fatigue testing.",One of the earlier studies applying ultrasonic testing to asphalt mixtures for fatigue-life prediction.,Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P54,"Tavassoti-Kheiry, P. and Boz, I. and Solaimanian, M. and Barzegari, S.",2019,Effect of age hardening on modulus of warm mix asphalt mixtures,IR,None reported,Impact resonance test (IRT),Medium,2,multiple material types (4); additives/modifiers; aging,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR),1,FFT,1,Young’s/elastic modulus,Young's modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,Sigmoidal,Master curve construction,1,"This study is highly relevant to the TC MWP because it demonstrates the application of Impact Resonance Testing (IRT) to monitor age hardening in asphalt mixtures over a four-year period using the same specimens. The IR methodology provides repeatable measurements of Young's modulus, shear modulus and damping ratio through FFT analysis of resonance frequencies. A key contribution is the construction of dynamic modulus master curves by combining high-frequency IR measurements with binder shift factors and generalized logistic modelling. The results showed that different WMA technologies exhibit distinct hardening trends over time, with water-foamed WMA presenting the greatest increase in modulus, while HMA exhibited the smallest age-related changes.",Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=1, PropC=1, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA); Warm Mixture Asphalt (WMA),Cylinder
P138,"Al-Azawee, E.T. and Qasim, Z.I.",2018,The influence of crumb rubber modifier (CRM) on the properties of asphalt concrete mixtures,UT,None reported,Ultrasonic testing (UT),Low,2,multiple material types (4); additives/modifiers,2,central frequency (UT); standard/reference (UT); wave type (UT),0,Not described,0,Not reported,Not reported,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,Not reported,1,"This study has low relevance. The UPV was used to determine the Young's modulus of asphalt mixtures modified with crumb rubber. The ultrasonic test showed that the modulus of elasticity increased with increasing CRM content, indicating higher mixture stiffness due to the elastic nature of the rubber modifier. However, the study mainly focuses on evaluating the influence of CRM on Marshall properties and optimum asphalt content, with UPV serving only as a complementary tool.",Not reported,Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P90,"Özgan, Ercan and Serin, Sercan",2013,Investigation of certain engineering characteristics of asphalt concrete exposed to freeze–thaw cycles,UT,None reported,Ultrasonic testing (UT),Low,2,multiple material types (2); moisture/conditioning,1,wave type (UT),0,Not described,0,Not reported,Not reported,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,Not reported,1,"This study investigates the use of ultrasonic pulse velocity (UPV) to evaluate asphalt concrete subjected to freeze–thaw cycles. A strong correlation was found between ultrasonic velocity and Marshall Stability, indicating that UPV can be used to estimate the stability of both binder and wearing course mixtures without destructive testing. The results also showed that freeze–thaw cycles significantly reduced Marshall Stability while increasing ultrasonic velocity, suggesting that ultrasonic measurements are sensitive to changes in the internal condition of asphalt mixtures caused by environmental exposure.",Not reported,Application Focus,None,No,Single highest technical score,High,"App=2, Meth=1, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P58,"Aziez, Mohammed Nadjib and Achour, Abderraouf and Bahaz, Abdesselam and Lakhdari, Zinelabidine",2023,Effect of waste brick powder rich in SiO2 on the physical and mechanical properties of Portland cement concrete containing coarse recycled asphalt pavement aggregates (RAP),UT,None reported,Ultrasonic testing (UT),Low,1,RAP/RAS or recycled materials,1,central frequency (UT); wave type (UT),0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,1,"Therefore, this article falls outside the scope of the TC MWP systematic review, because nvestigates Portland cement concrete containing recycled asphalt pavement (RAP) aggregates rather than asphalt mixtures.",Not reported,Application Focus,None,Yes,Scores tied at 1; ABK/ABL emphasis resolved to Application Focus,Medium,"App=1, Meth=1, DA=0 (SigProc=0, PropC=0, IdM=0). Scores tied at 1; ABK/ABL emphasis resolved to Application Focus.",Non-asphalt concrete material,Cylinder
P74,"Wu, J.",2011,Fatigue test of asphalt mixture and ultrasonic forecast,UT,None reported,Ultrasonic testing (UT),Low,1,fatigue,0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,1,"Even this study is interesting, but has low relevance to the TC MWP. Although it proposes the use of ultrasonic waves to predict the fatigue life of asphalt mixtures, it does not provide sufficient information about the ultrasonic methodology. No details are reported regarding the ultrasonic equipment, transducers, testing configuration, specimen geometry, signal acquisition, or signal processing. Furthermore, no mechanical properties are determined from the ultrasonic measurements.",Not reported,Application Focus,None,No,Single highest technical score,High,"App=1, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Other / special / unspecified
P42,"Jimoh, Y A and Itiola, Idowu Oluwabunmi and Afolabi, A A",2015,Destructive and non-destructive determination of resilient modulus of hot mix asphalt under different environmental conditions,UT,Indirect Tensile Test,"Ultrasonic testing (UT), Indirect Tensile Test",Medium,2,conventional-test comparison (Indirect Tensile Test); temperature effects (multiple temperatures),2,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); wave type (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,Not reported,2,"This study is relevant because it directly compares destructive and non-destructive methods for determining the resilient modulus of hot mix asphalt under different environmental conditions. The UPV method, using a portable PUNDIT device, provided more consistent and repeatable resilient modulus measurements than the indirect tensile test, with lower coefficients of variation (4–9% versus 11–26%). The study also demonstrated that resilient modulus decreases with increasing temperature regardless of the testing method, while moisture and short-term curing had limited influence. Regression equations were proposed to correlate the resilient modulus obtained from UPV and destructive testing, supporting the use of ultrasonic testing for laboratory quality control.","Unlike many studies that use UPV only as a qualitative indicator of material condition, this work directly estimates resilient modulus from ultrasonic pulse velocity and validates the results against destructive indirect tensile testing.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P122,"Daniel, J.S. and Kim, Y.R.",1998,Relationships among rate-dependent stiffnesses of asphalt concrete using laboratory and field test methods,IR,"Complex modulus (E*), Surface wave","Impact resonance test (IRT), Complex modulus (E*), Surface wave",High,3,"conventional-test comparison (Complex modulus (E*), Surface wave); multiple material types (3); field/pavement assessment; temperature effects (multiple temperatures)",3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); temperature (IR); methodological comment (IR),1,FFT,1,"Young’s/elastic modulus, stiffness, resonant frequency",Resonant frequency and dynamic elastic modulus (stiffness),1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,2,"This study is highly relevant to the TC MWP because it establishes a unified frequency–stiffness relationship among five laboratory and field test methods (creep compliance, complex modulus, impact resonance, surface wave, and FWD). Using linear viscoelastic theory and master creep compliance curves, the authors demonstrated that stiffness values obtained at different loading frequencies can be transformed onto a common log–log frequency scale, allowing direct comparison between conventional laboratory tests and high-frequency non-destructive methods such as Impact Resonance (≈3,500 Hz) and Surface Wave (≈10,000 Hz). Good agreement was observed between measured and predicted stiffness values, showing that laboratory tests can be used to estimate high-frequency stiffness and that IR provides modulus values consistent with the overall frequency-dependent behaviour of asphalt mixtures.","Unlike most studies that evaluate impact resonance independently, this work integrates IR with four additional stiffness measurement techniques within a common viscoelastic framework. Rather than using IR to directly determine material properties, the study demonstrates that stiffness values obtained from different laboratory and field methods can be related through frequency-dependent master curves, providing one of the earliest frameworks for comparing non-destructive and conventional stiffness measurements in asphalt mixtures.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=2 (SigProc=1, PropC=1, IdM=1). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder; In situ / pavement
P166,"Gudmarsson, A. and Ryden, N. and Birgisson, B.",2012,Determination of the frequency dependent dynamic modulus for asphalt concrete beams using resonant acoustic spectroscopy,IR,None reported,Impact resonance test (IRT),Medium,0,No application evidence identified in the form,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); temperature (IR),1,FFT,2,|E*| / dynamic modulus,Norm of the complex modulus,3,"numerical inverse / back-analysis, direct analytical / empirical equation",Numerical inverse analysis (FEM or other),3,0,None,Not reported,2,"Demonstrated the application of Resonant Acoustic Spectroscopy (RAS) to determine the frequency-dependent dynamic modulus of asphalt concrete beams using multiple resonance modes, extending the usable frequency range compared with the conventional ASTM E1876-99 approach.","Uses an inverse Rayleigh–Ritz approach based on multiple resonance frequencies rather than only the fundamental mode. The study compares RAS with ASTM E1876-99, highlights limitations for TTSP due to lack of overlap between temperatures, and provides detailed information on experimental setup and signal processing for IRT/RAS.",Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type,Medium,"App=0, Meth=3, DA=3 (SigProc=1, PropC=2, IdM=3). Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type.",Hot Mixture Asphalt (HMA),Prism / beam
P154,"Bekele, Abiy and Ryden, Nils and Gudmarsson, Anders and Birgisson, Björn",2019,Effect of cyclic low temperature conditioning on stiffness modulus of asphalt concrete based on non-contact resonance testing method,IR,None reported,Impact resonance test (IRT),Medium,2,multiple material types (3); moisture/conditioning,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); temperature (IR); methodological comment (IR),0,Not described,1,stiffness,Stiffness Modulus,2,"detailed signal-based (FRF/modal/peak-based), direct analytical / empirical equation",Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,2,"Introduced and validated an automated non-contact impact resonance testing method to monitor stiffness modulus and damping during repeated low-temperature cooling–heating cycles, demonstrating hysteretic behavior and the potential for detecting thermal micro-damage in asphalt concrete.","Unlike conventional impact resonance studies using an impact hammer, this study employs a loudspeaker-based non-contact excitation inside an environmental chamber, minimizing thermal disturbance during testing.",Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=0, PropC=1, IdM=2). Single highest technical score.",Hot Mixture Asphalt (HMA),Disc
P100,"Abo-Qudais, S. and Suleiman, A.",2005,Monitoring fatigue famage and crack healing by ultrasound wave velocity,UT,Fatigue test,"Ultrasonic testing (UT), Fatigue test",Medium,3,conventional-test comparison (Fatigue test); multiple material types (3); cracking/damage; fatigue,3,central frequency (UT); configuration (UT); repetitions (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,0,Not described,Direct ToF measured by PUNDIT instrument,1,0,None,Not reported,2,Demonstrated that UPV can monitor fatigue damage and crack healing in asphalt mixtures.,Uses UT (UPV) to track fatigue damage and healing instead of stiffness characterization.,Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=1 (SigProc=0, PropC=0, IdM=0). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P160,"Gudmarsson, A. and Ryden, N.",2017,Apps for modal analysis to characterize the complex modulus of asphalt concrete,IR,None reported,Impact resonance test (IRT),High,2,multiple material types (2); additives/modifiers,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); repetitions (IR); temperature (IR),1,FFT,3,"|E*| / dynamic modulus, Poisson’s ratio","Norm of the complex modulus, Poisson’s ratio",3,numerical inverse / back-analysis,Numerical inverse analysis (FEM or other),3,2,Havriliak–Negami,Master curve construction,2,Developed software tools to determine the complex modulus and complex Poisson's ratio using modal analysis.,Uses FRFs and FEM optimization instead of conventional impact resonance analysis.,Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type,Medium,"App=2, Meth=3, DA=3 (SigProc=1, PropC=3, IdM=3). Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type.",Hot Mixture Asphalt (HMA),Disc
